timestamps,open,high,low,close,volume,amount
2024-12-19,1044.473930002373,1049.3775634765625,1034.666663053994,1049.3775634765625,42702851,44811413735.88269
2024-12-20,1039.5701662515096,1039.5701662515096,1015.052001953125,1015.052001953125,52030520,52813683488.66211
2024-12-23,1044.4737938774956,1059.1846923828125,1039.57016104239,1059.1846923828125,30728473,32547128221.89856
2024-12-24,1073.8955908881294,1073.8955908881294,1059.1846923828125,1059.1846923828125,26461906,28028045766.4729
2024-12-25,1068.9920119887674,1068.9920119887674,1059.1847458237328,1064.08837890625,15481622,16473814056.819336
2024-12-26,1064.08837890625,1068.9920119887674,1064.08837890625,1064.08837890625,14374900,15296164037.939453
2024-12-27,1059.1847987743693,1073.8956987573467,1059.1847987743693,1068.9920654296875,24948385,26669625610.285034
2024-12-30,1068.9920654296875,1073.8956987573467,1064.0884321020285,1068.9920654296875,23954634,25607313676.272217
2024-12-31,1059.1847610828488,1064.0883942360101,1054.2811279296875,1054.2811279296875,28397820,29939285700.34424
2025-01-02,1049.3775101782571,1054.281143403389,1034.666610502861,1044.473876953125,43177098,45097350943.64502
2025-01-03,1059.1847610828488,1064.0883942360101,1054.2811279296875,1054.2811279296875,30415096,32066061716.969727
2025-01-06,1078.799338107639,1103.3175048828125,1073.8957047526042,1103.3175048828125,69289786,76448633803.38403
2025-01-07,1127.8356015365734,1137.6428676368917,1108.2210693359375,1108.2210693359375,48758688,54035405354.77734
2025-01-08,1088.6066364271069,1108.2211704167846,1083.7030029296875,1083.7030029296875,45211419,48995750537.01233
2025-01-09,1078.79931640625,1093.5102161754262,1078.79931640625,1078.79931640625,27263215,29411537705.03662
2025-01-10,1078.79931640625,1088.606582919034,1078.79931640625,1078.79931640625,22021522,23756802879.825195
2025-01-13,1088.606560001817,1093.5101931549782,1049.3774947765262,1054.2811279296875,56690300,59767513426.67236
2025-01-14,1064.0884321020285,1068.9920654296875,1054.2811654467102,1068.9920654296875,28695247,30674991358.545044
2025-01-15,1064.0884098536533,1064.0884098536533,1044.473876953125,1044.473876953125,35489482,37067836855.598145
2025-01-16,1073.8957359348487,1093.5102699245263,1068.9921024374294,1083.7030029296875,47542962,51522450687.57202
2025-01-17,1103.3174514770508,1103.3174514770508,1073.895652770996,1098.413818359375,59214050,65041530761.02295
2025-01-20,1103.3174514770508,1113.1247177124023,1098.413818359375,1098.413818359375,29834528,32770657819.429688
2025-01-21,1093.5101852416992,1103.3174514770508,1088.6065521240234,1098.413818359375,21904213,24059890239.48706
2025-01-22,1118.028389145099,1127.8356557165473,1113.124755859375,1113.124755859375,42960405,47820290327.24487
2025-02-03,1044.473930002373,1054.281196950752,1039.5702965281835,1049.3775634765625,97946226,102782571991.60474
2025-02-04,1064.0884848120006,1078.7993855236873,1059.1848512414383,1073.895751953125,53308108,57247350725.8584
2025-02-05,1088.6065673828125,1098.4138337556305,1083.7029341964035,1088.6065673828125,40385340,43963746349.98779
2025-02-06,1098.4138873318386,1098.4138873318386,1083.7029870550728,1093.51025390625,29971252,32773871384.408203
2025-02-07,1088.6066048177083,1103.3175048828125,1083.7029714626735,1103.3175048828125,27883220,30764044718.498535
2025-02-10,1103.3175369193652,1103.3175369193652,1073.8957359348487,1083.7030029296875,28527108,30914912604.49951
2025-02-11,1088.6065673828125,1093.5102005692215,1078.7993010099945,1088.6065673828125,18898928,20573497137.29492
2025-02-12,1088.606582919034,1093.5102161754262,1078.79931640625,1078.79931640625,24172954,26077766250.719727
2025-02-13,1068.9920654296875,1073.8956987573467,1059.1847987743693,1068.9920654296875,33210403,35501657296.72229
2025-02-14,1044.4738234034126,1049.3774563771374,1039.5701904296875,1039.5701904296875,64486940,67038700496.02783
2025-02-17,1044.473846576181,1064.08837890625,1044.473846576181,1064.08837890625,35491271,37765849023.7124
2025-02-18,1064.0884166370738,1078.79931640625,1059.184783380682,1078.79931640625,21616188,23319528837.708984
2025-02-19,1068.9920654296875,1073.8956987573467,1064.0884321020285,1068.9920654296875,26400293,28221703742.01892
2025-02-20,1059.1846923828125,1064.088325217918,1049.3774267126014,1059.1846923828125,29643124,31397543175.205566
2025-02-21,1064.0884848120006,1073.895751953125,1059.1848512414383,1073.895751953125,28972910,31113884970.720215
2025-02-24,1059.1847610828488,1064.0883942360101,1054.2811279296875,1054.2811279296875,30822970,32496075577.74292
2025-02-25,1034.6666259765625,1039.5702592750297,1029.7629926780953,1034.6666259765625,45158522,46724015591.82837
2025-02-26,1024.8592915085128,1039.5701904296875,1024.8592915085128,1039.5701904296875,36768449,38223383528.73425
2025-02-27,1044.4737915625938,1044.4737915625938,1019.9556274414062,1019.9556274414062,55283596,56386814845.39722
2025-03-03,980.7266534543505,1000.3411865234375,980.7266534543505,1000.3411865234375,65621663,65644052227.06116
2025-03-04,976.8037170410156,990.5338897705078,976.8037170410156,980.7266235351562,64569262,63324794305.41687
2025-03-05,1000.3411865234375,1010.148453057981,995.4375532561658,1000.3411865234375,41994320,42008647896.04492
2025-03-06,1000.3411482625933,1005.2447813423119,985.6302490234375,985.6302490234375,45187017,44537690818.3363
2025-03-07,985.6302490234375,990.5338821031561,980.7266159437189,985.6302490234375,40822280,40235674002.10449
2025-03-10,985.6302843112984,985.6302843112984,972.8808378475702,978.7651977539062,46849886,45855037935.537964
